GROUP,WASSER,HEMI
CGS-,0.022512788,LH
CGS-,0.023072977,LH
CGS-,0.016746638,LH
CGS-,0.014104947,LH
CGS-,0.007944014,LH
CGS-,0.029492009,LH
CGS-,0.024547582,LH
CGS-,0.018674301,LH
CGS-,0.010495072,LH
CGS-,0.020427465,LH
CGS-,0.020462507,LH
CGS-,0.019288857,LH
CGS-,0.023129366,LH
CGS-,0.021793412,LH
CGS-,0.033855218,LH
CGS-,0.012206724,LH
CGS-,0.03581243,LH
CGS-,0.020024501,LH
CGS-,0.02486328,LH
CGS-,0.033919949,LH
CGS-,0.019314012,LH
CGS-,0.033191442,LH
CGS-,0.025585055,LH
CGS-,0.035908043,LH
CGS-,0.028331237,LH
CGS-,0.023074955,LH
CGS-,0.009869416,LH
CGS-,0.040803507,LH
CGS-,0.035119776,LH
CGS-,0.033339567,LH
CGS-,0.015865201,LH
CGS-,0.037410874,LH
CGS-,0.028581444,LH
CGS-,0.029749649,LH
CGS-,0.015264338,LH
CGS-,0.025979042,LH
CGS-,0.037056528,LH
CGS-,0.038139641,LH
CGS-,0.029115789,LH
CGS-,0.012382265,LH
CGS-,0.026348647,LH
CGS-,0.025375271,LH
CGS-,0.015870279,LH
CGS-,0.012107546,LH
CGS-,0.01871866,LH
CGS-,0.018546291,LH
CGS-,0.031716414,LH
CGS-,0.040686779,LH
CGS-,0.01374591,LH
CGS-,0.032308348,LH
CGS-,0.026988994,LH
CGS-,0.018032113,LH
CGS-,0.00701907,LH
CGS-,0.009416482,LH
CGS-,0.027734654,LH
CGS-,0.018804654,LH
CGS-,0.011939192,LH
CGS-,0.008822311,LH
CGS-,0.022035521,LH
CGS-,0.018611751,LH
CGS-,0.011401901,LH
CGS-,0.015827797,LH
CGS-,0.019205581,LH
CGS-,0.031760864,LH
CGS-,0.016228218,LH
CGS-,0.014119768,LH
CGS-,0.026774306,LH
CGS-,0.013886441,LH
CGS-,0.026045794,LH
CGS-,0.028907994,LH
CGS-,0.040153299,LH
CGS-,0.015637798,LH
CGS-,0.012710562,LH
CGS-,0.012652952,LH
CGS-,0.02486879,LH
CGS-,0.0252725,LH
CGS-,0.01870109,LH
CGS-,0.025809489,LH
CGS-,0.030400377,LH
CGS-,0.021435801,LH
CGS-,0.0184738,LH
CGS-,0.017455664,LH
CGS-,0.015011363,LH
CGS-,0.029910885,LH
CGS-,0.031671342,LH
CGS-,0.021477493,LH
CGS-,0.028066412,LH
CGS-,0.011544867,LH
CGS-,0.020336354,LH
CGS-,0.01455088,LH
CGS-,0.021390375,LH
CGS-,0.03020701,LH
CGS-,0.039177373,LH
CGS-,0.013590047,LH
CGS-,0.0172417,LH
CGS-,0.016039845,LH
CGS-,0.023125997,LH
CGS-,0.020440886,LH
CGS-,0.014651434,LH
CGS-,0.02332145,LH
CGS-,0.031081121,LH
CGS-,0.016620569,LH
CGS-,0.016893737,LH
CGS-,0.016643165,LH
CGS-,0.019182324,LH
CGS-,0.024055343,LH
CGS-,0.028104262,LH
CGS-,0.019619031,LH
CGS-,0.027090482,LH
CGS-,0.013834375,LH
CGS-,0.018812159,LH
CGS-,0.007053816,LH
CGS-,0.020238046,LH
CGS-,0.028718565,LH
CGS-,0.01906411,LH
CGS-,0.036774423,LH
CGS-,0.027325444,LH
CGS-,0.028117288,LH
CGS-,0.015241597,LH
CGS-,0.020245448,LH
CGS-,0.022997234,LH
CGS-,0.016871674,LH
CGS-,0.010265453,LH
CGS-,0.011240345,LH
CGS-,0.019178569,LH
CGS-,0.015475676,LH
CGS-,0.006901993,LH
CGS-,0.015832035,LH
CGS-,0.014618313,LH
CGS-,0.028881168,LH
CGS-,0.018440358,LH
