"DICE","Network","Hemi","Group","subj"
0.0539083555340767,"SM_A","Left","CGS-",167743
0,"SM_A","Left","CGS-",173940
0.0229226369410753,"SM_A","Left","CGS-",194847
0,"SM_A","Left","CGS-",210011
0,"SM_A","Left","CGS-",210415
0.0760233923792839,"SM_A","Left","CGS-",214726
0,"SM_A","Left","CGS-",217429
0,"SM_A","Left","CGS-",371843
0,"SM_A","Left","CGS-",422632
0.0732984319329262,"SM_A","Left","CGS-",475855
0,"SM_A","Left","CGS-",485757
0,"SM_A","Left","CGS-",592455
0,"SM_A","Left","CGS-",645551
0,"SM_A","Left","CGS-",654754
0,"SM_A","Left","CGS-",679568
0,"SM_A","Left","CGS-",734045
0.00241545890457928,"SM_A","Left","CGS-",788876
0,"SM_A","Left","CGS-",937160
0,"SM_A","Left","CGS-",957974
0,"SM_A","Left","CGS-",105620
0.00524934381246567,"SM_A","Left","CGS-",109830
0.0397489555180073,"SM_A","Left","CGS-",117930
0.0615384615957737,"SM_A","Left","CGS-",129634
0,"SM_A","Left","CGS-",134223
0,"SM_A","Left","CGS-",136732
0,"SM_A","Left","CGS-",144125
0.0025252525229007,"SM_A","Left","CGS-",160729
0.0238095242530107,"SM_A","Left","CGS-",170631
0,"SM_A","Left","CGS-",175742
0.0402010045945644,"SM_A","Left","CGS-",192136
0,"SM_A","Left","CGS-",208125
0,"SM_A","Left","CGS-",220721
0.0247524753212929,"SM_A","Left","CGS-",576255
0,"SM_A","Left","CGS-",588565
0.0125523013994098,"SM_A","Left","CGS-",680250
0.0597014911472797,"SM_A","Left","CGS-",894774
0.00492610828951001,"SM_A","Left","CGS-",993675
0.0688622742891312,"DM_B","Left","CGS-",133928
0.045112781226635,"DM_B","Left","CGS-",136227
0.00277777784503996,"DM_B","Left","CGS-",144832
0,"DM_B","Left","CGS-",147737
0.0266666673123837,"DM_B","Left","CGS-",161731
0.0717703327536583,"DM_B","Left","CGS-",163331
0.110112361609936,"DM_B","Left","CGS-",165234
0.0781671181321144,"DM_B","Left","CGS-",167743
0.146067410707474,"DM_B","Left","CGS-",173940
0.134670481085777,"DM_B","Left","CGS-",194847
0.0813008099794388,"DM_B","Left","CGS-",210011
0.0243161097168922,"DM_B","Left","CGS-",210415
0.00584795325994492,"DM_B","Left","CGS-",214726
0.0233918130397797,"DM_B","Left","CGS-",217429
0.140221402049065,"DM_B","Left","CGS-",371843
0.0810810774564743,"DM_B","Left","CGS-",422632
0,"DM_B","Left","CGS-",475855
0.0996784567832947,"DM_B","Left","CGS-",485757
0.0424929186701775,"DM_B","Left","CGS-",592455
0.129032254219055,"DM_B","Left","CGS-",645551
0.150313153862953,"DM_B","Left","CGS-",654754
0.0984848514199257,"DM_B","Left","CGS-",679568
0.028985507786274,"DM_B","Left","CGS-",734045
0.0893719792366028,"DM_B","Left","CGS-",788876
0.136363640427589,"DM_B","Left","CGS-",937160
0.0441988967359066,"DM_B","Left","CGS-",957974
0,"DM_B","Left","CGS-",105620
0.112860895693302,"DM_B","Left","CGS-",109830
0.0857740566134453,"DM_B","Left","CGS-",117930
0.15384615957737,"DM_B","Left","CGS-",129634
0.240131571888924,"DM_B","Left","CGS-",134223
0.0251256283372641,"DM_B","Left","CGS-",136732
0.051446944475174,"DM_B","Left","CGS-",144125
0.0126262623816729,"DM_B","Left","CGS-",160729
0.293650805950165,"DM_B","Left","CGS-",170631
0.0172413792461157,"DM_B","Left","CGS-",175742
0.0603015087544918,"DM_B","Left","CGS-",192136
0.0321543402969837,"DM_B","Left","CGS-",208125
0.0831353887915611,"DM_B","Left","CGS-",220721
0.220297023653984,"DM_B","Left","CGS-",576255
0.0606860145926476,"DM_B","Left","CGS-",588565
0.317991644144058,"DM_B","Left","CGS-",680250
0,"DM_B","Left","CGS-",894774
0.182266011834145,"DM_B","Left","CGS-",993675
0,"DM_C","Left","CGS-",133928
0.0112781953066587,"DM_C","Left","CGS-",136227
0,"DM_C","Left","CGS-",144832
0,"DM_C","Left","CGS-",147737
0,"DM_C","Left","CGS-",161731
0,"DM_C","Left","CGS-",163331
0,"DM_C","Left","CGS-",165234
0.00539083546027541,"DM_C","Left","CGS-",167743
0,"DM_C","Left","CGS-",173940
0,"DM_C","Left","CGS-",194847
0,"DM_C","Left","CGS-",210011
0,"DM_C","Left","CGS-",210415
0,"DM_C","Left","CGS-",214726
0,"DM_C","Left","CGS-",217429
0,"DM_C","Left","CGS-",371843
0,"DM_C","Left","CGS-",422632
0,"DM_C","Left","CGS-",475855
0,"DM_C","Left","CGS-",485757
0,"DM_C","Left","CGS-",592455
0,"DM_C","Left","CGS-",645551
0,"DM_C","Left","CGS-",654754
0,"DM_C","Left","CGS-",679568
0,"DM_C","Left","CGS-",734045
0,"DM_C","Left","CGS-",788876
0,"DM_C","Left","CGS-",937160
0,"DM_C","Left","CGS-",957974
0,"DM_C","Left","CGS-",105620
0,"DM_C","Left","CGS-",109830
0.00836820062249899,"DM_C","Left","CGS-",117930
0,"DM_C","Left","CGS-",129634
0,"DM_C","Left","CGS-",134223
0.0100502511486411,"DM_C","Left","CGS-",136732
0,"DM_C","Left","CGS-",144125
0,"DM_C","Left","CGS-",160729
